Data Source,Term,Description,XPath of Relevant Node in Message Schema,XPath UCI Type,Python Path to Field,Protobuf Message Fields,Protobuf/ZMQ Generated Datatype,Protobuf/ZMQ Generated Units,OpenAPI Swagger Datatype,Cassandra Table,Cassandra Field,Cassandra Datatype,Cassandra Units,Default Values
Generated,Entity Message UUID,Unique ID associated w/ specific Entity Report message containing Entity data from specific PAYLOAD.,-,-,-,-,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),EntityMsg,entity_msg_uuid,uuid,-,Required by Source & Table
Entity Message,Source Entity UUID,Unique ID associated w/ specific ENTITY from specific PAYLOAD containing Entity data. This is the unique identifier of the entity.,uci:Entity/uci:MessageData/uci:EntityID/uci:UUID,uci:UniversallyUniqueIdentifierType,entityMsg.message_data.entity_i_d.u_u_i_d,UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),EntityMsg,source_entity_uuid,uuid,-,00000000-0000-0000-0000-000000000000
Entity Message,Source Payload UUID,The UUID of the PAYLOAD that is sending the message.,uci:Entity/uci:MessageHeader/uci:SystemID/uci:UUID,uci:UniversallyUniqueIdentifierType,entityMsg.message_header.system_i_d.u_u_i_d,UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),EntityMsg,source_payload_uuid,uuid,-,Required by Source & Table
Generated,Epoch Partition,Partition identifier for epoch.,-,-,-,-,uint64,epoch unix - ns,integer,EntityMsg,epoch_partition,bigint,epoch unix - ns,int(now_hour)
Generated,Write Timestamp,Timestamp when the data was written.,-,-,-,-,uint64,epoch unix - ns,integer($utc),EntityMsg,write_timestamp,bigint,epoch unix - ns,int(now)
Entity Message,Latest Timestamp,Latest timestamp the signal was last detected.,uci:Entity/uci:MessageData/uci:SignalSummary/uci:LatestDetectionTimestamp,uci:DateTimeType,sigSummary.latest_detection_timestamp,LatestDetectionTimestamp,uint64,epoch unix - ns,integer($utc),EntityMsg,latest_timestamp,bigint,epoch unix - ns,Required by Source & Table
Entity Message,Pulse Data UUID,Unique ID associated with specific pulse data collection associated to the ENTITY.,uci:Entity/uci:MessageData/uci:PulseDataID/uci:UUID ,uci:UniversallyUniqueIdentifierType,entityMsg.message_data.pulse_i_d.u_u_i_d,UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),EntityMsg,pulsedata_uuid,uuid,-,00000000-0000-0000-0000-000000000000
Entity Message,ELNOT,Electronic Intelligence Notation.,uci:Entity/uci:MessageData/uci:Identity/uci:Emitter/uci:EmitterType/uci:EmitterCategory/uci:EmitterCategory/uci:Radar/uci:ELNOT_Identifier,uci:NotationType,entityMsg.message_data.emitter.emitter_category.radar.e_l_n_o_t__identifier, ELNOT_Identifier,string,-,string,EntityMsg,elnot,text,-,e_l_n_o_t
Entity Message,Emitter Key,Key identifying the emitter.,uci:Entity/uci:MessageData/uci:Identity/uci:Emitter/uci:EmitterType/uci:EmitterCategory/uci:EmitterCategory/uci:Radar/uci:EmitterIndex/uci:Key,uci:VisibleString256Type,entityMsg.message_data.emitter.emitter_category.radar.emitter_index.specific_emitter_key, Key,string,-,string,EntityMsg,emitter_key,text,-,emitter_key
Entity Message,Emitter Name,Name of the emitter.,uci:Entity/uci:MessageData/uci:Identity/uci:Emitter/uci:EmitterType/uci:EmitterCategory/uci:EmitterCategory/uci:Radar/uci:EmitterIndex/uci:SystemName,uci:VisibleString256Type,-, SystemName,string,-,string,EntityMsg,emitter_name,text,-,emitter_name
Generated,Frequency Range,Range of frequencies by taking the min and max frequencies.,-,-,-,-,object,-,list<number($float)>,EntityMsg,frequency_range,text,-,"[0.0, 0.0]"
Entity Message,Frequency Min,Minimum measured frequency of the Signal of the Entity.,uci:Entity/uci:MessageData/uci:SignalSummary/uci:SignalDescription/uci:FrequencyMin,uci:FrequencyType,sigSummary.signal_description.frequency_min,FrequencyMin,double,MHz,number($float),EntityMsg,frequency_min,float,MHz,0
Entity Message,Frequency Avg,Average measured frequency of the Signal of the Entity.,uci:Entity/uci:MessageData/uci:SignalSummary/uci:SignalDescription/uci:FrequencyAverage,uci:FrequencyType,sigSummary.signal_description.frequency_average,FrequencyAverage,double,MHz,number($float),EntityMsg,frequency_avg,float,MHz,0
Entity Message,Frequency Max,Maximum measured frequency of the Signal of the Entity.,uci:Entity/uci:MessageData/uci:SignalSummary/uci:SignalDescription/uci:FrequencyMax    ,uci:FrequencyType,sigSummary.signal_description.frequency_max,FrequencyMax,double,MHz,number($float),EntityMsg,frequency_max,float,MHz,0
Generated,Amplitude Range,Range of amplitudes by taking the min and max amplitudes.,-,-,-,-,object,-,list<number($float)>,EntityMsg,amplitude_range,text,-,"[0.0, 0.0]"
Entity Message,Amplitude Min,Lowest measured amplitude of the Signal of the Entity.,uci:Entity/uci:MessageData/uci:SignalSummary/uci:SignalDescription/uci:AmplitudeMin ,,sigSummary.signal_description.amplitude_min,AmplitudeMin ,double,dBm,number($float),EntityMsg,amplitude_min,float,dBm,0
Entity Message,Amplitude Avg,Average measured amplitude of the Signal of the Entity.,uci:Entity/uci:MessageData/uci:SignalSummary/uci:SignalDescription/uci:AmplitudeAverage ,uci:MilliwattPowerRatioType,sigSummary.signal_description.amplitude_average,AmplitudeAverage ,double,dBm,number($float),EntityMsg,amplitude_avg,float,dBm,0
Entity Message,Amplitude Max,Maximum measured amplitude of the Signal of the Entity.,uci:Entity/uci:MessageData/uci:SignalSummary/uci:SignalDescription/uci:AmplitudeMax ,,sigSummary.signal_description.amplitude_max,AmplitudeMax ,double,dBm,number($float),EntityMsg,amplitude_max,float,dBm,0
Generated,Pulse Width Range,Range of pulse widths by taking the min and max pulse widths.,-,-,-,-,object,-,list<number($float)>,EntityMsg,pulsewidth_range,text,-,"[0.0, 0.0]"
